CustomerID;AddressID;NameStyle;Title;FullName;CompanyName;SalesPerson;EmailAddress;Phone;AddressType;AddressLine1;AddressLine2;City;StateProvince;CountryRegion;PostalCode
"29566";"810";"0";"Ms.";"Mae M. Black  ";"Historic Bicycle Sales";"adventure-works\michael9";"mae1@adventure-works.com";"264-555-0143";"Main Office";"Redford Plaza";"";"Redford";"Michigan";"United States";"48239"
"78";"0";"0";"Mr.";"Stefan  Delmarco  ";"Preferred Bikes";"adventure-works\linda3";"stefan0@adventure-works.com";"819-555-0186";"";"";"";"";"";"";""
"52";"0";"0";"Ms.";"Rebecca  Laszlo  ";"Instruments and Parts Company";"adventure-works\jae0";"rebecca2@adventure-works.com";"1 (11) 500 555-0155";"";"";"";"";"";"";""
"29615";"663";"0";"Ms.";"Mari B. Caldwell  ";"Metro Metals Co.";"adventure-works\jae0";"mari0@adventure-works.com";"1 (11) 500 555-0118";"Main Office";"2524 Barlby Road";"";"London";"England";"United Kingdom";"W10 6BL"
"29956";"561";"0";"";"Jinghao  Liu  ";"Chic Department Stores";"adventure-works\jillian0";"jinghao1@adventure-works.com";"928-555-0116";"Main Office";"90025 Sterling St";"";"Irving";"Texas";"United States";"75061"
"672";"0";"0";"Mr.";"Gerald M. Drury  ";"Utilitarian Sporting Goods";"adventure-works\shu0";"gerald0@adventure-works.com";"169-555-0178";"";"";"";"";"";"";""
"568";"0";"0";"Mr.";"Curtis P. Howard  ";"Economy Center";"adventure-works\josé1";"curtis0@adventure-works.com";"555-555-0162";"";"";"";"";"";"";""
"29949";"1008";"0";"Mr.";"George Z. Li  ";"Security Racks and Locks Wholesalers";"adventure-works\shu0";"george3@adventure-works.com";"699-555-0183";"Main Office";"910 Main Street.";"";"Sparks";"Nevada";"United States";"89431"
"583";"0";"0";"Ms.";"Laura C. Steele  ";"Professional Containers and Packaging Co.";"adventure-works\shu0";"laura3@adventure-works.com";"741-555-0173";"";"";"";"";"";"";""
"29893";"1018";"0";"Mr.";"Sandeep  Kaliyath  ";"Weekend Bike Tours";"adventure-works\shu0";"sandeep1@adventure-works.com";"495-555-0113";"Main Office";"630 N. Capitol Ave.";"";"San Jose";"California";"United States";"95112"
"595";"0";"0";"Mr.";"Alan  Steiner  ";"Cycle Clearance";"adventure-works\pamela0";"alan4@adventure-works.com";"792-555-0194";"";"";"";"";"";"";""
"647";"0";"0";"Mr.";"Michael  Vanderhyde  ";"Solid Bike Parts";"adventure-works\jillian0";"michael25@adventure-works.com";"918-555-0141";"";"";"";"";"";"";""
"29716";"1015";"0";"Mr.";"Blaine  Dockter  ";"Farthermost Bike Shop";"adventure-works\shu0";"blaine0@adventure-works.com";"156-555-0187";"Main Office";"99000 S. Avalon Blvd. Suite 750";"";"Carson";"California";"United States";"90746"
"92";"0";"0";"Ms.";"Jovita A. Carmody  ";"Sports Commodities";"adventure-works\david8";"jovita0@adventure-works.com";"646-555-0137";"";"";"";"";"";"";""
"223";"0";"0";"Ms.";"Joyce  Jarvis  ";"Paints and Solvents Company";"adventure-works\shu0";"joyce0@adventure-works.com";"458-555-0179";"";"";"";"";"";"";""
"635";"0";"0";"Mr.";"Roger  Van Houten  ";"Sports Store";"adventure-works\jae0";"roger2@adventure-works.com";"1 (11) 500 555-0110";"";"";"";"";"";"";""
"30019";"652";"0";"Mr.";"Matthew J. Miller  ";"Tachometers and Accessories";"adventure-works\jae0";"matthew5@adventure-works.com";"1 (11) 500 555-0176";"Main Office";"Wymbush";"";"Milton Keynes";"England";"United Kingdom";"MK8 8DF"
"29637";"559";"0";"Ms.";"Donna F. Carreras  ";"Advanced Bike Components";"adventure-works\jillian0";"donna0@adventure-works.com";"279-555-0130";"Main Office";"12345 Sterling Avenue";"";"Irving";"Texas";"United States";"75061"
"112";"0";"0";"Ms.";"Elsie L. Lewin  ";"Town Industries";"adventure-works\jillian0";"elsie0@adventure-works.com";"803-555-0116";"";"";"";"";"";"";""
"55";"0";"0";"Mr.";"Eric  Lang  ";"Kickstands and Accessories Company";"adventure-works\pamela0";"eric6@adventure-works.com";"932-555-0163";"";"";"";"";"";"";""
"30031";"896";"0";"Mr.";"Alan  Steiner  ";"Cycle Clearance";"adventure-works\pamela0";"alan4@adventure-works.com";"792-555-0194";"Main Office";"2255 254th Avenue Se";"";"Albany";"Oregon";"United States";"97321"
"346";"0";"0";"Mr.";"Ranjit Rudra Varkey Chudukatil  ";"Great Bicycle Supply";"adventure-works\jillian0";"ranjit1@adventure-works.com";"810-555-0160";"";"";"";"";"";"";""
"236";"0";"0";"Ms.";"Lola M. McCarthy  ";"Closeout Boutique";"adventure-works\david8";"lola0@adventure-works.com";"173-555-0151";"";"";"";"";"";"";""
"466";"0";"0";"Sra.";"Janeth  Esteves  ";"Central Bicycle Specialists";"adventure-works\jae0";"janeth1@adventure-works.com";"1 (11) 500 555-0136";"";"";"";"";"";"";""
"30044";"661";"0";"Mr.";"Gary J. Suess  ";"Downhill Bicycle Specialists";"adventure-works\jae0";"gary5@adventure-works.com";"1 (11) 500 555-0199";"Main Office";"725a The Arches";"";"Berks";"England";"United Kingdom";"SL4 1RH"
"326";"0";"0";"Mr.";"Scott  Gode  ";"Year-Round Sports";"adventure-works\david8";"scott4@adventure-works.com";"164-555-0145";"";"";"";"";"";"";""
"137";"0";"0";"";"Gytis M Barzdukas  ";"Transportation Options";"adventure-works\josé1";"gytis0@adventure-works.com";"257-555-0119";"";"";"";"";"";"";""
"29554";"776";"0";"Mr.";"Payton P. Benson  ";"Field Trip Inc";"adventure-works\michael9";"payton0@adventure-works.com";"528-555-0183";"Main Office";"997000 Telegraph Rd.";"";"Southfield";"Michigan";"United States";"48034"
"30056";"1052";"0";"Mr.";"Clarence R. Tatman  ";"Sparkling Paint and Finishes";"adventure-works\linda3";"clarence0@adventure-works.com";"787-555-0128";"Main Office";"San Diego Factory";"";"San Ysidro";"California";"United States";"92173"
"30089";"1034";"0";"Mr.";"Michael John R. Troyer  ";"Thrifty Parts and Sales";"adventure-works\linda3";"michaeljohn0@adventure-works.com";"308-555-0175";"Main Office";"Oxnard Outlet";"";"Oxnard";"California";"United States";"93030"
"29522";"1040";"0";"Mr.";"Thomas B. Armstrong  Jr.";"Resale Services";"adventure-works\linda3";"thomas1@adventure-works.com";"226-555-0146";"Main Office";"Fox Hills";"";"Culver City";"California";"United States";"90232"
"455";"0";"0";"Mr.";"James R. Tran  ";"Timely Shipping Service";"adventure-works\shu0";"james15@adventure-works.com";"740-555-0159";"";"";"";"";"";"";""
"29757";"1070";"0";"Mr.";"Garth  Fort  ";"Basic Sports Equipment";"adventure-works\linda3";"garth0@adventure-works.com";"768-555-0125";"Main Office";"3250 Baldwin Park Blvd";"";"Baldwin Park";"California";"United States";"91706"
"30063";"1009";"0";"Ms.";"Vanessa J. Tench  ";"Eighth Bike Store";"adventure-works\shu0";"vanessa0@adventure-works.com";"785-555-0163";"Main Office";"2500 N Serene Blvd";"19th Floor";"El Segundo";"California";"United States";"90245"
"37";"0";"0";"Mr.";"Jim  Geist  ";"Two Bike Shops";"adventure-works\pamela0";"jim1@adventure-works.com";"724-555-0161";"";"";"";"";"";"";""
"29835";"903";"0";"Mr.";"Ronald K. Heymsfield  ";"Superior Hardware Distributors";"adventure-works\david8";"ronald1@adventure-works.com";"784-555-0120";"Main Office";"250775 SW Hillsdale Hwy";"";"Beaverton";"Oregon";"United States";"97005"
"29636";"1105";"0";"Mr.";"Andy  Carothers  ";"Western Bike Supplies";"adventure-works\shu0";"andy1@adventure-works.com";"944-555-0148";"Main Office";"566 S. Main";"";"Cedar City";"Utah";"United States";"84720"
"29710";"1017";"0";"Ms.";"Brenda  Diaz  ";"Downtown Hotel";"adventure-works\shu0";"brenda2@adventure-works.com";"147-555-0192";"Main Office";"2560 E. Newlands Dr";"";"Fernley";"Nevada";"United States";"89408"
"456";"0";"0";"Mr.";"Michael  Galos  ";"Riding Excursions";"adventure-works\linda3";"michael15@adventure-works.com";"912-555-0149";"";"";"";"";"";"";""
"698";"0";"0";"Mr.";"Andy  Carothers  ";"Western Bike Supplies";"adventure-works\shu0";"andy1@adventure-works.com";"944-555-0148";"";"";"";"";"";"";""
"29705";"459";"0";"Ms.";"Della F. Demott Jr  ";"Rewarding Activities Company";"adventure-works\garrett1";"della0@adventure-works.com";"752-555-0185";"Main Office";"25575 The Queensway";"";"Etobicoke";"Ontario";"Canada";"M9W 3P3"
"29955";"756";"0";"Mr.";"David J. Liu  ";"Catalog Store";"adventure-works\michael9";"david20@adventure-works.com";"440-555-0132";"Main Office";"855 East Main Avenue";"";"Zeeland";"Michigan";"United States";"49464"
"311";"0";"0";"Sr.";"Alvaro  De Matos Miranda Filho  ";"Principal Bike Company";"adventure-works\shu0";"alvaro0@adventure-works.com";"551-555-0155";"";"";"";"";"";"";""
"29580";"849";"0";"Mr.";"Richard  Bready  ";"Latest Sports Equipment";"adventure-works\david8";"richard1@adventure-works.com";"340-555-0131";"Main Office";"4251 First Avenue";"";"Seattle";"Washington";"United States";"98104"
"470";"0";"0";"Ms.";"Delia B. Toone  ";"Wingtip Toys";"adventure-works\david8";"delia0@adventure-works.com";"328-555-0192";"";"";"";"";"";"";""
"106";"0";"0";"Ms.";"Andrea A. Thomsen  ";"West Side Mart";"adventure-works\jae0";"andrea1@adventure-works.com";"1 (11) 500 555-0120";"";"";"";"";"";"";""
"29862";"1096";"0";"Mr.";"Lawrence E. Hurkett  ";"Retail Sporting Goods";"adventure-works\shu0";"lawrence0@adventure-works.com";"129-555-0185";"Main Office";"6753 Howard Hughes Parkway";"";"Las Vegas";"Nevada";"United States";"89106"
"384";"0";"0";"Mr.";"Clarence R. Tatman  ";"Sparkling Paint and Finishes";"adventure-works\linda3";"clarence0@adventure-works.com";"787-555-0128";"";"";"";"";"";"";""
"29569";"562";"0";"Ms.";"Linda E. Burnett  ";"Travel Systems";"adventure-works\jillian0";"linda4@adventure-works.com";"121-555-0121";"Main Office";"2505 Gateway Drive";"";"North Sioux City";"South Dakota";"United States";"57049"
"480";"0";"0";"Ms.";"Susan E. French  ";"General Bike Corporation";"adventure-works\garrett1";"susan3@adventure-works.com";"994-555-0194";"";"";"";"";"";"";""
"29611";"862";"0";"Mr.";"Jared L. Bustamante  ";"Alternative Vehicles";"adventure-works\pamela0";"jared0@adventure-works.com";"164-555-0147";"Main Office";"3307 Evergreen Blvd";"Ste 1071";"Washougal";"Washington";"United States";"98671"
"198";"0";"0";"Mr.";"Payton P. Benson  ";"Field Trip Inc";"adventure-works\michael9";"payton0@adventure-works.com";"528-555-0183";"";"";"";"";"";"";""
"388";"0";"0";"Mr.";"Victor A. Kelley  ";"Road Way Sales and Rental";"adventure-works\josé1";"victor0@adventure-works.com";"112-555-0195";"";"";"";"";"";"";""
